load word2vec finished
C:\Users\billy\anaconda3\envs\python38\lib\site-packages\torch\nn\modules\rnn.py:58: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.3 and num_layers=1
0 1780 0.08029788732528687 0.59375 2021-03-14 14:11:22.947835
0 1790 0.07683351635932922 0.71875 2021-03-14 14:11:25.999834
0 1800 0.07276122272014618 0.75 2021-03-14 14:11:29.107835
0 1810 0.07349810004234314 0.71875 2021-03-14 14:11:32.248835
0 1820 0.07398224622011185 0.625 2021-03-14 14:11:35.413835
0 1830 0.07452794909477234 0.71875 2021-03-14 14:11:38.517834
0 1840 0.08306961506605148 0.625 2021-03-14 14:11:41.682834
0 1850 0.07601410895586014 0.625 2021-03-14 14:11:44.784834
0 1860 0.067003533244133 0.71875 2021-03-14 14:11:47.904836
0 1870 0.07091628015041351 0.6875 2021-03-14 14:11:51.014834
0 1880 0.056944359093904495 0.75 2021-03-14 14:11:54.133834
0 1890 0.08112064749002457 0.65625 2021-03-14 14:11:57.242834
0 1900 0.08053355664014816 0.625 2021-03-14 14:12:00.390834
0 1910 0.07019641995429993 0.65625 2021-03-14 14:12:03.519835
0 1920 0.07114183157682419 0.8125 2021-03-14 14:12:06.575835
0 1930 0.0848371684551239 0.5 2021-03-14 14:12:09.768834
0 1940 0.07693567126989365 0.71875 2021-03-14 14:12:12.909834
0 1950 0.07852821797132492 0.65625 2021-03-14 14:12:16.130834
0 1960 0.09231867641210556 0.5 2021-03-14 14:12:19.207836
0 1970 0.07165321707725525 0.875 2021-03-14 14:12:22.238834
0 1980 0.08363182097673416 0.6875 2021-03-14 14:12:25.370835
0 1990 0.09128411114215851 0.65625 2021-03-14 14:12:28.535834
0 2000 0.07735173404216766 0.625 2021-03-14 14:12:31.653834
test 0.5225160256410256 2021-03-14 14:13:41.846916
0 2010 0.0687781572341919 0.75 2021-03-14 14:13:44.991916
0 2020 0.07634444534778595 0.75 2021-03-14 14:13:48.151917
0 2030 0.06575062870979309 0.8125 2021-03-14 14:13:51.269917
0 2040 0.06489268690347672 0.8125 2021-03-14 14:13:54.342042
0 2050 0.07785409688949585 0.71875 2021-03-14 14:13:57.443041
0 2060 0.07622098922729492 0.6875 2021-03-14 14:14:00.561042
0 2070 0.08612464368343353 0.5625 2021-03-14 14:14:03.698042
0 2080 0.0780860185623169 0.5625 2021-03-14 14:14:06.830041
0 2090 0.07996521890163422 0.6875 2021-03-14 14:14:09.935042
0 2100 0.08482210338115692 0.5625 2021-03-14 14:14:13.105042
0 2110 0.06657417118549347 0.75 2021-03-14 14:14:16.228041
0 2120 0.0738731324672699 0.75 2021-03-14 14:14:19.381482
0 2130 0.06991113722324371 0.78125 2021-03-14 14:14:22.470482
0 2140 0.07557111978530884 0.78125 2021-03-14 14:14:25.593483
0 2150 0.07612256705760956 0.75 2021-03-14 14:14:28.719483
0 2160 0.07011451572179794 0.71875 2021-03-14 14:14:31.811482
0 2170 0.09161901473999023 0.53125 2021-03-14 14:14:34.955483
0 2180 0.07136093080043793 0.71875 2021-03-14 14:14:38.107483
0 2190 0.0699368268251419 0.65625 2021-03-14 14:14:41.248483
0 2200 0.0703238993883133 0.71875 2021-03-14 14:14:44.381483
0 2210 0.07117505371570587 0.6875 2021-03-14 14:14:47.462483
0 2220 0.07976111769676208 0.625 2021-03-14 14:14:50.573482
0 2230 0.0885532945394516 0.65625 2021-03-14 14:14:53.833483
0 2240 0.08620162308216095 0.53125 2021-03-14 14:14:56.981482
0 2250 0.07410284876823425 0.71875 2021-03-14 14:15:00.408490
0 2260 0.07825136929750443 0.78125 2021-03-14 14:15:03.843483
0 2270 0.0641564354300499 0.75 2021-03-14 14:15:07.042483
0 2280 0.0610678568482399 0.75 2021-03-14 14:15:10.185483
0 2290 0.08726415038108826 0.625 2021-03-14 14:15:13.291483
0 2300 0.08275523781776428 0.59375 2021-03-14 14:15:16.383483
0 2310 0.0825829952955246 0.5625 2021-03-14 14:15:19.495483
0 2320 0.07614601403474808 0.6875 2021-03-14 14:15:22.607483
0 2330 0.0817524790763855 0.59375 2021-03-14 14:15:25.686483
0 2340 0.07934857904911041 0.65625 2021-03-14 14:15:28.771483
0 2350 0.08331236243247986 0.625 2021-03-14 14:15:31.879483
0 2360 0.07642187178134918 0.625 2021-03-14 14:15:34.983483
0 2370 0.05961044877767563 0.84375 2021-03-14 14:15:38.122483
0 2380 0.06466613709926605 0.75 2021-03-14 14:15:41.304483
0 2390 0.08287377655506134 0.71875 2021-03-14 14:15:44.424483
0 2400 0.07662054896354675 0.65625 2021-03-14 14:15:47.520483
0 2410 0.07294991612434387 0.75 2021-03-14 14:15:50.593482
0 2420 0.07653740048408508 0.6875 2021-03-14 14:15:53.720483
0 2430 0.07735692709684372 0.6875 2021-03-14 14:15:56.828482
0 2440 0.07137171924114227 0.6875 2021-03-14 14:15:59.993483
0 2450 0.0781785398721695 0.59375 2021-03-14 14:16:03.085483
0 2460 0.0676036924123764 0.78125 2021-03-14 14:16:06.166483
0 2470 0.08321236073970795 0.65625 2021-03-14 14:16:09.277483
0 2480 0.07209865003824234 0.71875 2021-03-14 14:16:12.396483
0 2490 0.08345303684473038 0.65625 2021-03-14 14:16:15.519483
0 2500 0.07703529298305511 0.6875 2021-03-14 14:16:18.667484
test 0.5318108974358975 2021-03-14 14:17:28.498634
0 2510 0.07361069321632385 0.75 2021-03-14 14:17:31.669636
0 2520 0.0810680091381073 0.71875 2021-03-14 14:17:34.738634
0 2530 0.08505704998970032 0.5625 2021-03-14 14:17:37.868634
0 2540 0.06695682555437088 0.71875 2021-03-14 14:17:40.994634
0 2550 0.06470005959272385 0.8125 2021-03-14 14:17:44.116635
0 2560 0.06541165709495544 0.78125 2021-03-14 14:17:47.286634
0 2570 0.07692329585552216 0.625 2021-03-14 14:17:50.397634
0 2580 0.07015486806631088 0.75 2021-03-14 14:17:53.502634
0 2590 0.08477190881967545 0.625 2021-03-14 14:17:56.683634
0 2600 0.07138939201831818 0.71875 2021-03-14 14:17:59.756635
0 2610 0.0820888876914978 0.625 2021-03-14 14:18:02.807634
0 2620 0.06396595388650894 0.75 2021-03-14 14:18:05.927634
0 2630 0.07696057111024857 0.71875 2021-03-14 14:18:09.028635
0 2640 0.07585002481937408 0.65625 2021-03-14 14:18:12.162634
0 2650 0.08471235632896423 0.625 2021-03-14 14:18:15.216634
